"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"DIGIKEY#";"FARNELL#";"LINK";"MANF";"MANF#";"PACKAGE";"TME#";
"2";"";"SOLDER_JOINT";"RES_0";"SJ1, SJ2";"";"";"";"";"";"";"";"";"";
"7";"100 nF";"C-0805";"C0805";"C1, C2, C3, C4, C9, C10, C11";"";"";"";"2496834";"";"";"";"0805";"GRM188R71H104KA93D";
"4";"15-20K";"R-0805";"R0805";"R1, R2, R3, R4";"";"";"";"";"";"";"";"0805";"";
"5";"150R";"R-0805";"R0805";"R6, R9, R10, R11, R12";"";"";"";"";"";"";"";"0805";"";
"1";"150R";"RESISTOR_ARRAY";"CAT16-J4";"RN2";"Chip Resistor Array 4 Single Resistor";"";"";"";"";"";"";"";"";
"1";"2K";"R-0805";"R0805";"R5";"";"";"";"";"";"";"";"0805";"";
"1";"CD4066";"CD4066";"SO-14";"IC2";"";"";"";"";"https://www.chipdip.ru/product/cd4066bm";"";"";"";"";
"3";"CONNECTION";"CONNECTION";"CONNECTION";"U$3, U$6, U$7";"";"EXCLUDE";"";"";"";"";"";"";"";
"2";"CONNECTOR";"CONNECTOR";"CONNECTOR";"CON2, CON5";"";"EXCLUDE";"";"";"";"";"";"";"";
"1";"IRLML2502-SOT23";"IRLML2502-SOT23";"SOT23B-3";"Q9";"MOSFET N-CH 20V 4.2A SOT-23";"";"IRLML2502PBFTR-ND";"";"";"Infineon Technologies";"IRLML2502TRPBF";"";"";
"5";"LED-0805";"LED-0805";"0805_LED";"LED5, LED9, LED11, LED13, LED15";"";"";"";"";"";"";"";"0805";"";
"1";"LM2902DT";"LM2902DT";"SO-14";"IC1";"";"";"";"";"https://www.chipdip.ru/product/lm2902dt-2";"";"";"";"";
"1";"M74HCT74";"M74HCT74";"SO-14";"IC3";"";"";"";"";"https://www.chipdip.ru/product/m74hct74rm1";"";"";"";"";
"4";"PHOTOTRANSISTOR-0805";"PHOTOTRANSISTOR-0805";"0805";"Q2, Q4, Q6, Q8";"";"";"";"";"";"";"";"";"";
"2";"PINHEAD_1X09-2";"PINHEAD_1X09-2";"1X09-PTH_2";"CON3, CON4";"";"EXCLUDE";"";"";"";"";"";"";"";
"4";"WS2812B";"WS2812B";"WS2812B";"LED1, LED2, LED3, LED4";"";"";"";"";"";"";"";"";"";
